1,1,25,65,1023
2,2,25,65,1023
3,3,26,66,1022
4,4,26,65,1021
5,5,27,66,1023
6,6,28,40,1023
7,7,25,40,1022
8,8,26,56,1021
9,9,28,56,1023
10,10,28,40,1023
11,11,29,40,1022
12,12,29,69,1021
13,13,28,69,1023
14,14,32,73,1023
15,15,33,73,1022
16,16,33,92,1021
17,17,32,52,1023
18,18,25,52,1023
19,19,39,63,1022
20,20,25,64,1021
21,21,15,68,1023
22,22,25,69,1023
23,23,39,65,1022
24,5,25,63,1021
25,6,14,52,1023
26,7,25,45,1023
27,9,19,45,1022
28,7,25,49,1021
29,3,30,52,1023
30,8,30,52,1023
